QUERYID,CASE_NUM,CASE_YEAR,REGN_CNTY_CDE,COMP_MUNI,MUNITYPE,REF_MRKR,ATINTERSECTION_IND,COMPX,COMPY,ACC_DATE,ACCD_TME,DMV_ACCD_CLSF,NUM_OF_INJURIES,NUM_OF_FATALITIES,NUM_OF_VEH,ACCD_TYP,COLLISION_TYP,TRAF_CNTL,LIGHT_COND,WEATHER,ROAD_SURF_COND
6836 ,34061375,2011 ,MONROE,Rochester,,,Y,288876 ,4779603 , 09/28/2011,2:18 PM,PROPERTY DAMAGE AND INJURY,2 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,TRAFFIC SIGNAL,DAYLIGHT,RAIN,WET
6836 ,34061736,2011 ,MONROE,Rochester,,,Y,287275 ,4782725 , 10/05/2011,5:40 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,TRAFFIC SIGNAL,DAYLIGHT,CLEAR,DRY
6836 ,34062118,2011 ,MONROE,Webster,,,N,301951 ,4787165 , 10/24/2011,3:40 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,RIGHT ANGLE,NONE,DAYLIGHT,RAIN,WET
6836 ,34062122,2011 ,MONROE,Pittsford,,,Y,294825 ,4770884 , 10/22/2011,2:45 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DAYLIGHT,CLOUDY,DRY
6836 ,34062695,2011 ,MONROE,Rochester,,,N,286996 ,4785593 , 10/24/2011,4:24 PM,INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DAYLIGHT,RAIN,WET
6836 ,34062702,2011 ,MONROE,Rochester,,490I43022042,N,288680 ,4780016 , 10/14/2011,7:25 PM,PROPERTY DAMAGE AND INJURY,5 ,0 ,1 ,COLLISION WITH MEDIAN/BARRIER,OTHER,NONE,DARK-ROAD LIGHTED,RAIN,WET
6836 ,34064266,2011 ,MONROE,Henrietta,,,Y,287525 ,4774207 , 07/13/2011,5:45 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLLISION WITH BICYCLIST,OTHER,TRAFFIC SIGNAL,DARK-ROAD LIGHTED,CLEAR,DRY
6836 ,34064424,2011 ,MONROE,Chili,,383 43011154,N,284439 ,4777699 , 10/21/2011,7:17 AM,PROPERTY DAMAGE AND INJURY,2 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,LEFT TURN (AGAINST OTHER CAR),NONE,DAYLIGHT,CLEAR,DRY
6836 ,34064426,2011 ,MONROE,Rochester,,104 43032028,N,288001 ,4785389 , 10/23/2011,8:05 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLLISION WITH GUIDE RAIL,OTHER,NONE,DAYLIGHT,CLEAR,DRY
6836 ,34064720,2011 ,MONROE,Greece,,104 43031154,N,283539 ,4787002 , 10/25/2011,6:50 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLLISION WITH CURBING,OTHER,NONE,DARK-ROAD LIGHTED,CLOUDY,DRY
6836 ,34064726,2011 ,MONROE,Greece,,,Y,285485 ,4788853 , 10/25/2011,12:42 PM,INJURY,1 ,0 ,1 ,COLLISION WITH BICYCLIST,OTHER,NONE,DAYLIGHT,CLOUDY,DRY
6836 ,34064727,2011 ,MONROE,Greece,,,Y,285104 ,4791092 , 10/22/2011,1:26 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,RIGHT ANGLE,TRAFFIC SIGNAL,DAYLIGHT,CLOUDY,DRY
6836 ,34065222,2011 ,MONROE,Rochester,,,N,288744 ,4785426 , 10/23/2011,6:59 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,UNKNOWN,TRAFFIC SIGNAL,DAWN,CLEAR,DRY
6836 ,34065230,2011 ,MONROE,Rochester,,,N,286118 ,4784286 , 10/20/2011,9:50 AM,PROPERTY DAMAGE AND INJURY,1 ,0 ,3 ,COLLISION WITH MOTOR VEHICLE,OTHER,NONE,DAYLIGHT,CLOUDY,DRY
6836 ,34065235,2011 ,MONROE,Rochester,,,Y,288765 ,4784311 , 10/21/2011,8:47 PM,INJURY,1 ,0 ,1 ,COLLISION WITH BICYCLIST,OTHER,NONE,DARK-ROAD UNLIGHTED,RAIN,WET
6836 ,34065242,2011 ,MONROE,Rochester,,,Y,289390 ,4784247 , 10/26/2011,7:06 PM,INJURY,2 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,RIGHT ANGLE,STOP SIGN,DARK-ROAD LIGHTED,RAIN,WET
6836 ,34065543,2011 ,MONROE,Rochester,,,Y,289207 ,4781653 , 09/16/2011,9:15 AM,INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,TRAFFIC SIGNAL,DAYLIGHT,CLEAR,DRY
6836 ,34065834,2011 ,MONROE,Rochester,,104 43032023,N,287153 ,4785487 , 10/13/2011,5:09 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,1 ,COLLISION WITH OTHER BARRIER,OTHER,NONE,DAYLIGHT,CLEAR,DRY
6836 ,34065838,2011 ,MONROE,Greece,,390 43011021,N,281973 ,4785184 , 10/22/2011,9:25 AM,PROPERTY DAMAGE AND INJURY,2 ,0 ,1 ,COLL. W/LIGHT SUPPORT/UTILITY POLE,OTHER,NONE,DAYLIGHT,CLOUDY,DRY
6836 ,34066023,2011 ,MONROE,Rochester,,,Y,287791 ,4782027 , 10/26/2011,2:21 PM,PROPERTY DAMAGE AND INJURY,1 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,TRAFFIC SIGNAL,DAYLIGHT,RAIN,WET
6836 ,34066036,2011 ,MONROE,Greece,,,N,285509 ,4789010 , 10/21/2011,7:55 PM,INJURY,3 ,0 ,2 ,COLLISION WITH MOTOR VEHICLE,REAR END,NONE,DARK-ROAD LIGHTED,RAIN,WET
